"","Generation","Crosses","Treatment","Exposure","Sample","Sex","Sugar.Weight","Glucose","Trehalose","Glycogen","Fat.Weight","TAG","Fitness"
"1","F1","MnPc","NSD","Maternal",1,"male",2.66,4.3,11.69,15.86,2.51,35.45234096,NA
"2","F1","MnPc","NSD","Maternal",2,"male",2.52,2.93,10,25.8,2.15,21.90806065,NA
"3","F1","MnPc","NSD","Maternal",3,"male",2.56,7.21,12.15,18.4,2.74,29.41933792,NA
"4","F1","MnPc","NSD","Maternal",4,"male",2.54,5.99,15.88,14.83,2.49,33.56680665,NA
"5","F1","MnPc","NSD","Maternal",5,"male",2.41,5.29,8.86,12.43,2.63,28.55864748,NA
"6","F1","MnPc","NSD","Maternal",6,"male",2.38,5.61,10.03,8.66,2.62,27.35098514,NA
"7","F1","MnPc","NSD","Maternal",7,"male",2.5,6.35,12.18,15.85,2.62,35.415473,NA
"8","F1","MnPc","NSD","Maternal",8,"male",2.72,7.98,11.64,12.19,2.59,35.84653463,NA
"9","F1","MnPc","NSD","Maternal",9,"male",2.47,7.05,20.61,9.18,2.59,31.3280462,NA
"10","F1","MnPc","NSD","Maternal",10,"male",2.64,4.58,8.1,3.64,2.51,24.75186455,NA
"11","F1","MnPc","NSD","Maternal",11,"male",2.67,6.37,25.54,19.93,2.7,61.0910474,NA
"12","F1","MnPc","NSD","Maternal",12,"male",2.71,6.01,21,21.01,2.39,43.43759195,NA
"13","F1","MnPc","NSD","Maternal",13,"male",2.61,5.79,8.53,4.43,2.41,60.40033725,NA
"14","F1","MnPc","NSD","Maternal",14,"male",2.57,4.93,14.79,3.06,2.44,72.41051712,NA
"15","F1","MnPc","NSD","Maternal",15,"male",2.69,5.95,15.35,2.67,2.76,42.12108884,NA
"16","F1","MnPc","NSD","Maternal",16,"male",2.43,6.55,13.19,5.78,2.56,47.54446026,NA
"17","F1","MnPc","NSD","Maternal",17,"male",2.65,7.68,18.2,15.31,2.36,26.56485349,NA
"18","F1","MnPc","NSD","Maternal",18,"male",2.51,7.31,18.68,3,2.58,56.14432376,NA
"19","F1","MnPc","NSD","Maternal",19,"male",2.43,6.06,16.55,3.12,2.65,78.74848599,NA
"20","F1","MnPc","NSD","Maternal",20,"male",2.56,14.59,24.99,15.65,2.57,28.50596682,NA
"21","F1","MnPc","NSD","Maternal",21,"male",2.5,4.36,16.35,4.92,2.72,37.17977603,NA
"22","F1","MnPc","NSD","Maternal",22,"male",2.65,5.54,19.39,3.95,2.7,57.86026458,NA
"23","F1","MnPc","NSD","Maternal",23,"male",2.46,5.48,26.14,9.65,2.51,38.30204767,NA
"24","F1","MnPc","NSD","Maternal",24,"male",2.65,4.13,34.19,15.36,2.51,35.9481392,NA
"25","F1","McPn","NSD","Paternal",1,"male",2.56,5.56,12.72,20.14,2.68,76.95170207,NA
"26","F1","McPn","NSD","Paternal",2,"male",2.69,4.06,13.15,22.94,2.73,43.86072325,NA
"27","F1","McPn","NSD","Paternal",3,"male",2.43,6.51,18.13,17.25,2.62,75.904107,NA
"28","F1","McPn","NSD","Paternal",4,"male",2.53,5.95,8.68,12.29,2.54,53.68483186,NA
"29","F1","McPn","NSD","Paternal",5,"male",2.58,6.58,12.88,21.17,2.56,47.5642456,NA
"30","F1","McPn","NSD","Paternal",6,"male",2.65,6.76,11.78,21.93,2.62,106.6189814,NA
"31","F1","McPn","NSD","Paternal",7,"male",2.53,4.69,14.01,19.19,2.61,55.63945339,NA
"32","F1","McPn","NSD","Paternal",8,"male",2.61,3.35,6.62,14.98,2.82,50.80567815,NA
"33","F1","McPn","NSD","Paternal",9,"male",2.67,4.85,11.88,16.49,2.6,61.9706665,NA
"34","F1","McPn","NSD","Paternal",10,"male",2.66,5.19,10.67,16.53,2.56,69.06867495,NA
"35","F1","McPn","NSD","Paternal",11,"male",2.62,6.11,12.82,12.3,2.66,50.50634411,NA
"36","F1","McPn","NSD","Paternal",12,"male",2.52,4.2,11.29,12.47,2.54,53.59774911,NA
"37","F1","McPn","NSD","Paternal",13,"male",2.41,8.28,8.82,2.07,2.65,14.20341785,NA
"38","F1","McPn","NSD","Paternal",14,"male",2.63,7.1,14.9,21.97,2.57,81.89048212,NA
"39","F1","McPn","NSD","Paternal",15,"male",2.52,7.2,15.66,9.44,2.68,63.68952935,NA
"40","F1","McPn","NSD","Paternal",16,"male",2.64,10.15,9.35,18.47,2.77,51.45371162,NA
"41","F1","McPn","NSD","Paternal",17,"male",2.45,8.48,23.14,9.63,2.68,61.96812972,NA
"42","F1","McPn","NSD","Paternal",18,"male",2.53,8.44,11.97,10.93,2.56,67.67170905,NA
"43","F1","McPn","NSD","Paternal",19,"male",2.47,7.81,22.75,11.82,2.71,53.49838778,NA
"44","F1","McPn","NSD","Paternal",20,"male",2.6,5.63,31.34,16.91,2.7,103.8717434,NA
"45","F1","McPn","NSD","Paternal",21,"male",2.53,7.67,23.69,19.6,2.39,88.1491216,NA
"46","F1","McPn","NSD","Paternal",22,"male",2.5,6.18,26.14,11.6,2.35,54.69731637,NA
"47","F1","McPn","NSD","Paternal",23,"male",2.59,8.95,17.77,21.01,2.6,58.6910871,NA
"48","F1","McPn","NSD","Paternal",24,"male",2.65,12.39,23.17,20.09,2.67,28.79148345,NA
"49","F1","McPn","NSD","Paternal",25,"male",NA,NA,NA,NA,NA,NA,NA
"50","F1","MnPn","NSD","Both",1,"male",2.42,4.09,9.4,13.22,2.62,15.9856782,NA
"51","F1","MnPn","NSD","Both",2,"male",2.66,2.9,8.6,12.6,2.61,22.01131122,NA
"52","F1","MnPn","NSD","Both",3,"male",2.59,4.16,11.24,9.69,2.72,22.05722494,NA
"53","F1","MnPn","NSD","Both",4,"male",2.52,2.95,4.52,6.27,2.77,35.19334334,NA
"54","F1","MnPn","NSD","Both",5,"male",2.62,8.43,12.89,18.29,2.4,13.87162233,NA
"55","F1","MnPn","NSD","Both",6,"male",2.44,4.26,9.36,5.57,2.42,18.7787262,NA
"56","F1","MnPn","NSD","Both",7,"male",2.69,4.08,8.5,4.4,2.41,13.24822729,NA
"57","F1","MnPn","NSD","Both",8,"male",2.73,6.4,11.31,4.65,2.51,13.18693133,NA
"58","F1","MnPn","NSD","Both",9,"male",2.66,5.88,11.96,12.94,2.72,21.59204853,NA
"59","F1","MnPn","NSD","Both",10,"male",2.61,6.42,13.41,10.17,2.4,12.05476974,NA
"60","F1","MnPn","NSD","Both",11,"male",2.55,7.65,31.3,14.29,2.52,24.60002199,NA
"61","F1","MnPn","NSD","Both",12,"male",2.7,9.64,5.83,5.11,2.54,23.86484369,NA
"62","F1","MnPn","NSD","Both",13,"male",2.27,3.74,13.35,0.1,2.74,19.01547119,NA
"63","F1","MnPn","NSD","Both",14,"male",2.81,4.11,14.62,2.79,2.76,20.51893125,NA
"64","F1","MnPn","NSD","Both",15,"male",2.69,5.81,11.18,11.5,2.33,32.77407802,NA
"65","F1","MnPn","NSD","Both",16,"male",2.59,3.87,18.48,4.9,2.58,30.04533934,NA
"66","F1","MnPn","NSD","Both",17,"male",2.31,6.29,10.23,1.28,2.58,18.21713066,NA
"67","F1","MnPn","NSD","Both",18,"male",2.5,6.18,11.75,3.27,2.78,32.7886845,NA
"68","F1","MnPn","NSD","Both",19,"male",2.68,7.53,15.62,0,2.53,33.2336974,NA
"69","F1","MnPn","NSD","Both",20,"male",2.63,4.85,18.89,4.72,2.41,15.36065378,NA
"70","F1","MnPn","NSD","Both",21,"male",2.78,4.72,13.75,3.11,2.67,25.50366917,NA
"71","F1","MnPn","NSD","Both",22,"male",2.93,2.46,18.24,1.84,2.52,15.82856071,NA
"72","F1","MnPn","NSD","Both",23,"male",2.52,7.7,15.35,7.45,2.66,4.309031404,NA
"73","F1","MnPn","NSD","Both",24,"male",2.85,4.64,22.46,0,2.65,21.09992288,NA
"74","F1","MnPn","NSD","Both",25,"male",NA,NA,NA,NA,NA,NA,NA
"75","F1","McPc","CD","Both",1,"male",2.59,4.48,8.11,17.14,2.7,21.86370499,NA
"76","F1","McPc","CD","Both",2,"male",2.67,6.82,15.54,18.81,2.6,24.77467519,NA
"77","F1","McPc","CD","Both",3,"male",2.5,5.75,10.43,17.91,2.7,35.18690155,NA
"78","F1","McPc","CD","Both",4,"male",2.48,5.35,10.4,8.54,2.37,17.31930872,NA
"79","F1","McPc","CD","Both",5,"male",2.85,4.89,9.78,12.3,2.64,36.66291683,NA
"80","F1","McPc","CD","Both",6,"male",2.4,5.75,15.69,17.51,2.33,29.73524619,NA
"81","F1","McPc","CD","Both",7,"male",2.74,6.08,10.68,13.57,2.7,43.79887614,NA
"82","F1","McPc","CD","Both",8,"male",2.66,11.61,3.46,7.92,2.57,24.80837704,NA
"83","F1","McPc","CD","Both",9,"male",2.69,5.33,12.06,12.92,2.53,26.03972552,NA
"84","F1","McPc","CD","Both",10,"male",2.61,4.45,8.9,8.39,2.93,36.4787233,NA
"85","F1","McPc","CD","Both",11,"male",2.59,4.6,10.36,7.95,2.55,37.99138298,NA
"86","F1","McPc","CD","Both",12,"male",2.65,6.63,11.64,18.67,2.78,30.90161128,NA
"87","F1","McPc","CD","Both",13,"male",2.6,9.74,19.18,11.5,2.47,28.87718218,NA
"88","F1","McPc","CD","Both",14,"male",2.56,6.95,30.19,19.79,2.5,17.07486001,NA
"89","F1","McPc","CD","Both",15,"male",2.52,7.32,27.83,4.51,2.85,15.0810123,NA
"90","F1","McPc","CD","Both",16,"male",2.51,5.87,25.03,8.25,2.49,22.42575088,NA
"91","F1","McPc","CD","Both",17,"male",2.58,6.97,13.02,2.61,2.64,38.67144588,NA
"92","F1","McPc","CD","Both",18,"male",2.59,8.34,12.92,0.77,2.68,15.7573175,NA
"93","F1","McPc","CD","Both",19,"male",2.59,7.21,31.02,10.19,2.42,32.1448235,NA
"94","F1","McPc","CD","Both",20,"male",2.55,8.74,19.77,13.55,2.59,34.71732487,NA
"95","F1","McPc","CD","Both",21,"male",2.71,4.93,19.39,9.76,2.67,36.4453857,NA
"96","F1","McPc","CD","Both",22,"male",2.69,5.93,20.1,0,2.6,25.78202954,NA
"97","F1","McPc","CD","Both",23,"male",2.65,3.05,7.8,8.42,2.65,26.94973211,NA
"98","F1","McPc","CD","Both",24,"male",2.69,5.95,24.2,28.9,2.34,26.51377494,NA
"99","F1","McPc","CD","Both",25,"male",NA,NA,NA,NA,NA,NA,NA
"100","F1","MnPc","NSD","Maternal",1,"female",3.87,11.11,9.25,25.55,3.63,14.63299318,341
"101","F1","MnPc","NSD","Maternal",2,"female",3.94,7.32,6.3,11.92,3.86,13.78889663,317
"102","F1","MnPc","NSD","Maternal",3,"female",3.65,9.94,8.25,7.09,3.94,22.58492314,223
"103","F1","MnPc","NSD","Maternal",4,"female",3.87,8.66,8.54,10.82,3.83,25.15077692,434
"104","F1","MnPc","NSD","Maternal",5,"female",3.82,7.47,7.17,12.45,3.79,27.15059922,255
"105","F1","MnPc","NSD","Maternal",6,"female",4.14,12.16,8.97,18.31,3.83,22.54194062,485
"106","F1","MnPc","NSD","Maternal",7,"female",3.84,10.39,8.98,22.66,3.6,26.56255708,206
"107","F1","MnPc","NSD","Maternal",8,"female",3.63,7.92,13.8,9.31,3.73,24.63669797,334
"108","F1","MnPc","NSD","Maternal",9,"female",3.63,8.32,7.33,8.38,3.72,27.39912724,527
"109","F1","MnPc","NSD","Maternal",10,"female",3.54,8.92,12.72,5.72,4.23,19.36237799,377
"110","F1","MnPc","NSD","Maternal",11,"female",3.9,9.5,7.45,19.41,3.84,29.39666088,280
"111","F1","MnPc","NSD","Maternal",12,"female",3.73,8.05,5.36,7.91,3.91,25.82912364,527
"112","F1","MnPc","NSD","Maternal",13,"female",3.89,8.21,12.15,16.66,3.6,14.1169487,403
"113","F1","MnPc","NSD","Maternal",14,"female",3.64,1.38,5.21,0.55,3.81,22.57665309,505
"114","F1","MnPc","NSD","Maternal",15,"female",3.79,6.1,13.24,5.88,3.78,54.16017363,460
"115","F1","MnPc","NSD","Maternal",16,"female",3.83,6,11.68,17.46,3.8,46.33863302,251
"116","F1","MnPc","NSD","Maternal",17,"female",4,7.13,11.9,4.94,3.77,17.21441777,276
"117","F1","MnPc","NSD","Maternal",18,"female",3.91,7.16,14.86,7.33,3.84,25.64946731,597
"118","F1","MnPc","NSD","Maternal",19,"female",3.96,9.16,13.69,9.91,3.61,15.85128106,170
"119","F1","MnPc","NSD","Maternal",20,"female",3.78,6,12.74,7.41,3.66,49.65434437,341
"120","F1","MnPc","NSD","Maternal",21,"female",4.01,8.63,15.31,17,3.87,32.20748901,231
"121","F1","MnPc","NSD","Maternal",22,"female",3.54,3.26,9.3,3.03,3.87,19.62700366,183
"122","F1","MnPc","NSD","Maternal",23,"female",3.63,9.55,14.62,13.65,3.56,36.17835008,411
"123","F1","MnPc","NSD","Maternal",24,"female",3.66,5.33,15.17,19.54,3.45,39.71747906,329
"124","F1","MnPc","NSD","Maternal",25,"female",NA,NA,NA,NA,NA,NA,405
"125","F1","McPn","NSD","Paternal",1,"female",3.64,10.92,7.61,8.62,3.66,19.01553636,386
"126","F1","McPn","NSD","Paternal",2,"female",3.39,4.88,17.22,10.01,3.93,21.30293854,371
"127","F1","McPn","NSD","Paternal",3,"female",3.62,9.68,6.94,8.33,3.73,29.82431159,369
"128","F1","McPn","NSD","Paternal",4,"female",3.61,7.72,4.73,2.48,3.97,21.4287408,262
"129","F1","McPn","NSD","Paternal",5,"female",3.5,9.39,9.33,7.99,3.88,35.94021273,463
"130","F1","McPn","NSD","Paternal",6,"female",3.76,7.42,6.74,10.1,3.35,25.12936797,454
"131","F1","McPn","NSD","Paternal",7,"female",3.72,11,12.1,6.8,3.62,16.88780543,259
"132","F1","McPn","NSD","Paternal",8,"female",3.76,9.66,5.33,5.51,3.89,38.59751155,280
"133","F1","McPn","NSD","Paternal",9,"female",3.73,10.73,9.62,16.7,3.61,20.26208274,620
"134","F1","McPn","NSD","Paternal",10,"female",3.74,10.05,9.83,19.17,3.45,20.97381322,337
"135","F1","McPn","NSD","Paternal",11,"female",3.84,12.91,16.85,25.02,3.44,28.45273805,448
"136","F1","McPn","NSD","Paternal",12,"female",4.02,9.73,7.54,14.17,3.65,32.44999952,244
"137","F1","McPn","NSD","Paternal",13,"female",3.56,4.99,19.18,12.69,3.41,24.92117227,324
"138","F1","McPn","NSD","Paternal",14,"female",3.79,5.09,16.34,23.37,3.72,18.33077774,185
"139","F1","McPn","NSD","Paternal",15,"female",3.68,5.97,7.8,0.92,3.44,18.65566766,338
"140","F1","McPn","NSD","Paternal",16,"female",3.82,9.63,13.72,22.22,3.7,16.10581627,265
"141","F1","McPn","NSD","Paternal",17,"female",3.68,6.52,8.29,12.37,3.96,20.57857372,614
"142","F1","McPn","NSD","Paternal",18,"female",3.26,8.31,7.31,8.18,3.94,19.19560544,524
"143","F1","McPn","NSD","Paternal",19,"female",3.84,6.54,10.9,10.69,3.97,30.2614724,248
"144","F1","McPn","NSD","Paternal",20,"female",3.69,5.49,10.93,10.25,3.72,25.23203272,204
"145","F1","McPn","NSD","Paternal",21,"female",3.82,8.08,14.28,14.08,3.71,28.5023375,315
"146","F1","McPn","NSD","Paternal",22,"female",3.58,6.77,13.43,13.47,3.79,20.82603495,449
"147","F1","McPn","NSD","Paternal",23,"female",3.97,5.23,14.25,16.65,3.51,40.11171945,501
"148","F1","McPn","NSD","Paternal",24,"female",3.85,7,12.53,15.49,3.87,38.43050008,340
"149","F1","McPn","NSD","Paternal",25,"female",NA,NA,NA,NA,NA,NA,468
"150","F1","MnPn","NSD","Both",1,"female",3.62,9.71,12.94,15.6,3.63,30.70875474,656
"151","F1","MnPn","NSD","Both",2,"female",3.77,6.59,7.43,6,3.68,34.52735902,206
"152","F1","MnPn","NSD","Both",3,"female",3.47,7.12,6.85,8.09,3.71,24.67996053,322
"153","F1","MnPn","NSD","Both",4,"female",4.03,11.09,10.16,29.55,3.82,30.77944105,268
"154","F1","MnPn","NSD","Both",5,"female",3.46,8.47,5.76,7.22,3.42,24.06147663,288
"155","F1","MnPn","NSD","Both",6,"female",3.89,8.96,12.04,29.68,3.7,32.94226987,356
"156","F1","MnPn","NSD","Both",7,"female",3.49,9.99,10.14,7.19,3.52,54.48101609,358
"157","F1","MnPn","NSD","Both",8,"female",3.83,10.5,8.37,36.72,3.39,43.83733509,306
"158","F1","MnPn","NSD","Both",9,"female",3.66,9.24,8.67,3.37,3.66,81.24804526,377
"159","F1","MnPn","NSD","Both",10,"female",3.8,10.04,9.39,3.9,3.27,29.56576143,627
"160","F1","MnPn","NSD","Both",11,"female",3.75,11.97,12.96,15.45,3.46,27.54392383,240
"161","F1","MnPn","NSD","Both",12,"female",3.61,10.42,9.64,8.92,3.77,62.62888099,261
"162","F1","MnPn","NSD","Both",13,"female",3.97,11.92,18.32,31.35,3.35,32.31406036,374
"163","F1","MnPn","NSD","Both",14,"female",3.65,6.59,8.39,15.5,3.85,53.24292202,305
"164","F1","MnPn","NSD","Both",15,"female",3.68,7.35,11.28,16.78,3.62,39.2109062,384
"165","F1","MnPn","NSD","Both",16,"female",3.87,9.73,9.4,20.55,3.57,46.41748687,353
"166","F1","MnPn","NSD","Both",17,"female",3.88,9.42,13.74,23.48,3.64,51.35428901,402
"167","F1","MnPn","NSD","Both",18,"female",3.82,8.09,9.53,11.95,3.7,45.31339043,670
"168","F1","MnPn","NSD","Both",19,"female",3.74,11.87,16.61,30.15,3.18,52.50752945,509
"169","F1","MnPn","NSD","Both",20,"female",3.68,9.12,11.13,13.8,3.22,34.07555646,341
"170","F1","MnPn","NSD","Both",21,"female",3.94,8.95,19.04,21.3,3.7,37.65401248,159
"171","F1","MnPn","NSD","Both",22,"female",3.86,11.08,13.27,26.26,3.89,54.07000006,353
"172","F1","MnPn","NSD","Both",23,"female",3.85,10.73,12.35,15.4,3.57,41.2954195,184
"173","F1","MnPn","NSD","Both",24,"female",3.49,10.72,9.71,9.44,2.81,35.84213628,216
"174","F1","MnPn","NSD","Both",25,"female",NA,NA,NA,NA,NA,NA,370
"175","F1","McPc","CD","Both",1,"female",3.45,8.27,4.61,9.76,3.9,36.92227621,355
"176","F1","McPc","CD","Both",2,"female",3.77,11.92,10.17,30.8,3.4,20.44184475,328
"177","F1","McPc","CD","Both",3,"female",3.59,12.35,8.04,21.13,3.63,24.57739059,370
"178","F1","McPc","CD","Both",4,"female",3.61,10.38,9.85,24.81,4.06,39.83819821,481
"179","F1","McPc","CD","Both",5,"female",3.85,7.67,19.03,6.1,3.82,26.01099158,245
"180","F1","McPc","CD","Both",6,"female",3.99,10.18,23.29,24.71,3.39,34.13972026,331
"181","F1","McPc","CD","Both",7,"female",4.07,8.1,7.8,27.56,3.85,23.19415653,198
"182","F1","McPc","CD","Both",8,"female",3.83,12.04,9.37,38.42,4.09,26.62059759,362
"183","F1","McPc","CD","Both",9,"female",3.78,10.81,9.41,16.9,3.69,35.66345186,177
"184","F1","McPc","CD","Both",10,"female",3.4,9.07,7.79,8.69,4.12,34.17990725,232
"185","F1","McPc","CD","Both",11,"female",3.88,10.71,10.8,12.63,3.8,36.16819478,285
"186","F1","McPc","CD","Both",12,"female",3.48,10.21,13.78,19.94,3.84,28.25942807,242
"187","F1","McPc","CD","Both",13,"female",3.67,7.86,10.79,11.04,3.89,30.15817026,124
"188","F1","McPc","CD","Both",14,"female",3.74,5.82,12.44,10.76,3.41,43.48420182,108
"189","F1","McPc","CD","Both",15,"female",3.6,8.65,16.26,21.37,3.54,37.80900645,282
"190","F1","McPc","CD","Both",16,"female",3.55,7.95,14.12,16.12,3.97,39.16019524,758
"191","F1","McPc","CD","Both",17,"female",3.54,5.07,12.23,13.66,3.88,42.05578124,264
"192","F1","McPc","CD","Both",18,"female",3.67,5.58,9.65,12.97,3.58,17.62343983,186
"193","F1","McPc","CD","Both",19,"female",3.62,8.02,15.04,19.77,3.76,68.59770975,368
"194","F1","McPc","CD","Both",20,"female",3.77,5.82,10.1,4.38,3.75,34.0294645,339
"195","F1","McPc","CD","Both",21,"female",3.81,7.71,18.11,35.06,3.7,34.25357034,230
"196","F1","McPc","CD","Both",22,"female",3.51,5.54,10.68,6.17,3.52,32.68272041,496
"197","F1","McPc","CD","Both",23,"female",3.92,6.78,14.69,23.21,3.9,29.77995711,242
"198","F1","McPc","CD","Both",24,"female",3.36,5.1,13.69,5.69,3.62,36.79941539,207
"199","F1","McPc","CD","Both",25,"female",NA,NA,NA,NA,NA,NA,464
"200","F2","MnPc","NSD","Maternal",1,"male",2.77,13.31,21.98,23.59,2.59,51.83992923,NA
"201","F2","MnPc","NSD","Maternal",2,"male",2.68,11.68,16.34,18.145,2.61,26.6618716,NA
"202","F2","MnPc","NSD","Maternal",3,"male",2.67,11.17,25.17,9.145,2.41,37.43005044,NA
"203","F2","MnPc","NSD","Maternal",4,"male",2.54,11.63,33.64,12.58,2.49,19.27698407,NA
"204","F2","MnPc","NSD","Maternal",5,"male",2.48,11.66,17.25,14.875,2.14,63.86887755,NA
"205","F2","MnPc","NSD","Maternal",6,"male",2.7,9.71,14.93,8.29,2.54,43.43424319,NA
"206","F2","MnPc","NSD","Maternal",7,"male",2.65,13.14,21.23,16.89,2.72,48.6237828,NA
"207","F2","MnPc","NSD","Maternal",8,"male",2.57,7.08,21.02,11.755,2.26,39.76379347,NA
"208","F2","MnPc","NSD","Maternal",9,"male",2.67,12.78,24.16,9.65,2.46,53.88556434,NA
"209","F2","MnPc","NSD","Maternal",10,"male",2.44,6.06,9.53,9.085,2.82,27.33128863,NA
"210","F2","MnPc","NSD","Maternal",11,"male",2.48,9.41,10.26,12.81,2.57,55.87229091,NA
"211","F2","MnPc","NSD","Maternal",12,"male",2.66,10.54,19.67,9.81,2.39,43.18406085,NA
"212","F2","MnPc","NSD","Maternal",13,"male",2.34,7.66,11.45,12.695,2.38,29.42610169,NA
"213","F2","MnPc","NSD","Maternal",14,"male",2.58,11.81,19.5,19.855,2.52,97.5766618,NA
"214","F2","MnPc","NSD","Maternal",15,"male",2.69,8.85,15.12,10.45,2.72,28.46950886,NA
